Feature,Importance
Bwd Packet Length Mean,0.056772881493224486
Packet Length Variance,0.054928206629319305
Packet Length Std,0.04895028341503229
Average Packet Size,0.04539728847005486
Total Length of Bwd Packets,0.042389702139217784
Bwd Packet Length Std,0.041585226506867225
Bwd Packet Length Max,0.04104302931756991
Total Length of Fwd Packets,0.04056526550570354
Packet Length Mean,0.03900893351460645
Max Packet Length,0.0390000975345436
Subflow Fwd Bytes,0.03656005085569058
Avg Bwd Segment Size,0.03349894748875557
Fwd IAT Std,0.030442763505776984
Fwd Packet Length Mean,0.023912427988377876
Subflow Bwd Bytes,0.021657684334763047
Flow IAT Max,0.021546019187841162
Avg Fwd Segment Size,0.021294604869836472
Fwd Packet Length Max,0.01994672120558139
Destination Port,0.017956500302609386
Subflow Fwd Packets,0.014875939055125029
Flow Bytes/s,0.014112243251588965
Bwd Header Length,0.014017358533350512
act_data_pkt_fwd,0.01348366440322443
Total Fwd Packets,0.0134381425150475
Fwd IAT Max,0.013243711528707658
Fwd IAT Mean,0.013000306590583346
Total Backward Packets,0.012655230549711153
Init_Win_bytes_backward,0.012277574620120855
PSH Flag Count,0.011883310759847356
Flow IAT Std,0.011618362147279564
Bwd Packets/s,0.011301061344499048
Flow IAT Mean,0.01074800009257423
Bwd Packet Length Min,0.010269434561149147
Fwd Header Length,0.010230494678996003
Fwd Header Length.1,0.009980440051377618
Init_Win_bytes_forward,0.009456417379093454
Flow Duration,0.00878941289286413
Idle Max,0.008617914198097291
Fwd IAT Total,0.008159618185095724
Fwd Packets/s,0.00808793767205532
Fwd Packet Length Std,0.0076185256251890465
min_seg_size_forward,0.00703582056362217
Idle Min,0.006269455730663849
Subflow Bwd Packets,0.005914361579071783
ACK Flag Count,0.005808121542739568
Idle Mean,0.005796633857825623
Flow Packets/s,0.005060296772605171
Fwd IAT Min,0.00503889688775262
Bwd IAT Mean,0.0044826629492510425
Min Packet Length,0.004169772857499293
Bwd IAT Total,0.003860278380185397
Flow IAT Min,0.00341926942951092
Bwd IAT Max,0.0024881383570426793
Down/Up Ratio,0.0022212001130547656
FIN Flag Count,0.00212911484063799
Active Max,0.002097445972434662
Fwd Packet Length Min,0.0019679564437261455
Bwd IAT Std,0.001967662048912933
Bwd IAT Min,0.0015950074974980866
Active Mean,0.0014856007668473806
SYN Flag Count,0.0007101085389351713
Active Std,0.0005526576562300305
Active Min,0.0005099073584655408
Fwd PSH Flags,0.0004048127423049791
Idle Std,0.0003644027543738703
URG Flag Count,0.000328679457859003
ECE Flag Count,0.0
RST Flag Count,0.0
