Attack_Class,Feature,BENIGN_Mean,Attack_Mean,BENIGN_Std,Attack_Std,BENIGN_Median,Attack_Median,Separation_Score
Bot,Bwd Packet Length Min,47.85344591684563,3.188093730208993,71.32077487912919,2.9950462017134103,6.0,6.0,0.8848855559324663
Bot,Min Packet Length,19.347851996824065,2.735908803039899,26.851270094641475,2.9893000959959157,6.0,0.0,0.8695525514291862
Bot,URG Flag Count,0.0944142834959876,0.44521849271690944,0.2924043034364279,0.49714737560122113,0.0,0.0,0.8601659568011617
Bot,Flow Duration,13347254.86046051,198536.29955668145,32483734.73919615,2167663.1657438474,47611.0,63458.0,0.5711729929127333
Bot,Fwd IAT Total,12978978.628936151,192387.07473084232,32367270.36038603,2006668.815604829,48.0,63458.0,0.557610169529883
Bot,Bwd IAT Total,12127383.986851519,197710.4420519316,31532859.459527753,2167568.9031295255,3.0,61943.0,0.5337729447401365
Bot,PSH Flag Count,0.30221817254927236,0.5427485750474984,0.45921941629259566,0.49832703082197083,0.0,1.0,0.5019705274653982
Bot,Fwd IAT Max,5155444.529228254,96085.50284990501,15826499.585659029,383060.1159178798,48.0,62661.0,0.4519583916064983
Bot,Idle Max,4694271.579054662,12792.90690310323,15325291.330695022,359359.364568062,0.0,0.0,0.43188681258936457
Bot,Idle Mean,4461530.394438721,12792.90690310323,14639982.97585352,359359.364568062,0.0,0.0,0.4296159610862301
Bot,Fwd Packet Length Min,22.032292560874495,2.735908803039899,64.60756292968779,2.9893000959959157,6.0,0.0,0.4219327131587655
Bot,Bwd IAT Max,4483585.389360038,95403.01203293224,14981508.552297382,384740.4836365846,3.0,61324.0,0.4140959239307352
Bot,Idle Min,4183288.7851457736,12727.993033565548,14326941.159554651,357523.0104999304,0.0,0.0,0.41154828309992686
Bot,Flow IAT Std,1893573.247665243,43487.9115187739,6428000.18256641,184953.27524441652,157.6166235,24025.37473,0.4068657934504834
Bot,ACK Flag Count,0.2820785369612413,0.4572514249525016,0.4500115049764129,0.49832703082197083,0.0,0.0,0.3689526028954018
Bot,Fwd PSH Flags,0.0635549943307834,0.0,0.24395858644573384,0.0,0.0,0.0,0.3684245602854894
Bot,SYN Flag Count,0.0635549943307834,0.0,0.24395858644573384,0.0,0.0,0.0,0.3684245602854894
Bot,Bwd Packets/s,5505.376378090126,28087.71890477019,35739.84167728128,80062.95418896804,16.96295291,48.828125,0.36424523888131594
Bot,Bwd IAT Std,1173505.8238390968,34497.480584483965,4494237.801701839,174108.197080616,0.0,3497.35014,0.35814607986780345
Bot,Flow IAT Mean,1075329.9306049703,26242.585618624573,4416231.59120777,130374.48744411877,18047.92,10240.0,0.3358038247444977
Bot,Fwd IAT Mean,2286068.4614076503,59691.56233996643,10194969.160076259,265910.0846153583,48.0,20381.33333,0.3087308967831293
Bot,Bwd IAT Mean,2158912.2185756313,66229.12323615834,10147781.796054322,284136.0842470562,3.0,29845.0,0.29152591637781117
Bot,Init_Win_bytes_forward,8016.6748506520335,4701.283723875871,15865.255907654682,4114.054929143195,229.0,8192.0,0.28606917482887373
Bot,Active Max,191065.19414151655,131.0025332488917,1172676.3860419958,3679.7591501395027,0.0,0.0,0.23025993968227845
Bot,Fwd IAT Min,1383089.8053346302,37856.308423052564,9893021.842199726,132567.39576782106,3.0,13.0,0.19228469371369722
Bot,Bwd IAT Min,1374037.914216989,38099.358454718174,9856890.544779414,132485.07640610987,2.0,4.0,0.1916559569197171
Bot,Active Mean,88168.88558597496,78.20637534515515,680719.7230348872,2197.8287251681736,0.0,0.0,0.1830098052355865
Bot,Active Std,55520.732571687666,27.703453236225457,451022.7902367862,778.2841201434501,0.0,0.0,0.17400202218719868
Bot,Down/Up Ratio,0.6757512810671604,0.5687143761874605,0.7151507666437978,0.5092891801957152,1.0,1.0,0.17241424907314845
Bot,Init_Win_bytes_backward,2469.4720427051684,1278.169727675744,9318.924684415724,3935.670218497244,-1.0,237.0,0.16654498325601688
Bot,Fwd Packets/s,54316.49950264341,28087.173918659944,225931.27710622555,80063.1152705629,42.00268817,65.00999529,0.15475263036496517
