,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bot,345,25,0,0,0,0,1,2,0,0,8,0,0,0,0
DDoS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS Hulk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS slowloris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTP-Patator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heartbleed,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
Infiltration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PortScan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web Attack - Brute Force,215,0,0,0,0,0,0,1,0,0,0,0,70,0,2
Web Attack - Sql Injection,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web Attack - XSS,125,0,0,0,0,0,0,1,0,0,0,0,3,0,2
